storybook theme,daily activities,communication attempts,basic needs
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.09616582264258614,0.19693760392861884,0.2141620125306571,0.49273456089813794
0.10042383041524845,0.20414830468244244,0.22191936087626138,0.4735085040260477
0.1027917732898725,0.21532573565629284,0.23653078007039682,0.44535171098343784
0.10614756676259576,0.23096105188773325,0.24208927057046217,0.42080211077920876
0.11168492044421857,0.24585834796176181,0.2500972232793119,0.3923595083147078
0.11710766861929621,0.2589825615523386,0.25959043539704024,0.3643193344313249
0.12244278611199194,0.2724841709519198,0.2688010197952768,0.33627202314081145
0.12496285253009135,0.28419154050129086,0.28263775381157225,0.3082078531570456
0.12440352076583847,0.2956445700944799,0.2873242632993473,0.2926276458403343
0.12983491384276477,0.3046090506278438,0.30046098679822203,0.2650950487311694
0.13518600092682745,0.31604471988220845,0.31238425299801104,0.23638502619295312
0.14081816524847657,0.3270135449239011,0.3231451588949012,0.2090231309327211
0.1451843228793781,0.3365540932056342,0.3331510902678321,0.18511049364715565
0.15179863480160702,0.3449734043370964,0.3255794587826518,0.17764850207864474
0.15873346449958362,0.3536956061302296,0.3354997215728971,0.15207120779728972
0.16537887971792106,0.36332638424799346,0.3420779735059983,0.1292167625280873
0.1721508515319648,0.37540847730583404,0.33176701302740275,0.12067365813479841
0.178357536700508,0.39022524152159205,0.3117939920749021,0.1196232297029978
0.18684404826245526,0.39415464637314607,0.30070069007177586,0.11830061529262281
0.19437290467135768,0.3970197654409215,0.2954212228739357,0.1131861070137851
0.18596637908605965,0.4127235970650028,0.2911367757842467,0.11017324806469102
0.1843716722079692,0.4111618556908477,0.29823184640335754,0.10623462569782553
0.1948362806505397,0.4129317000464271,0.29060753549311696,0.1016244838099162
0.20203315409690575,0.40957128424434935,0.28751728821672257,0.10087827344202234
0.20706467962713704,0.4136145224891199,0.2835986470469208,0.09572215083682235
0.2164708211079045,0.4139484603081349,0.27837660318727325,0.0912041153966873
0.22454788427645977,0.41168291158446274,0.2781771498309497,0.08559205430812772
0.22852150076676822,0.420081347868772,0.27082644493916413,0.08057070642529565
0.2375671634203517,0.4188296300085192,0.26727186379667783,0.07633134277445124
0.24171961265617775,0.4166573266121863,0.2678627648140454,0.07376029591759055
0.2484291529552243,0.42278496324674514,0.2594162398385906,0.06936964395943991
0.2530391268629259,0.42698254836930394,0.25317271850389317,0.06680560626387705
0.25908542151361397,0.42960887152095717,0.2475689771079565,0.06373672985747239
0.27613618649463917,0.42961216899756016,0.23288792259651486,0.06136372191128583
0.2867534490655,0.42977546551177104,0.22565881239993227,0.057812273022796686
0.28558022140740474,0.42310137745761883,0.2368398860991546,0.05447851503582177
0.28165274558072556,0.4246286354638661,0.2428285066723432,0.050890112283065086
0.2865703103440082,0.42159186630051776,0.24430785334548108,0.04752997000999289
0.29538687720593365,0.417660513908171,0.24158208131613632,0.04537052756975899
0.3042223588631975,0.40537941727820753,0.24602401929088116,0.044374204567713786
0.30181548097560784,0.40846236754123255,0.24593570720994934,0.04378644427321025
0.3041537521146838,0.40395249942196426,0.2504518998975142,0.04144184856583771
0.30817549921443144,0.4044468423217192,0.24849945669726736,0.03887820176658205
0.31365862991809956,0.40031211254576526,0.24997064077914805,0.036058616756987134
0.3174142407890675,0.39638657019137424,0.252407609130253,0.03379157988930524
0.31834687846257453,0.3937349838500778,0.2560884744393934,0.03182966324795415
0.3184608498273668,0.39428199141581477,0.258349548926004,0.02890760983081449
0.3233424957965055,0.3895682551193679,0.2584254585044755,0.028663790579651134
0.3288389804017488,0.3782166402734912,0.2639866470805168,0.028957732244243157
0.32694678688915907,0.3831236328753561,0.26765270954533427,0.022276870690150625
0.31735093268312126,0.37873927994475165,0.2815174362724623,0.022392351099664802
0.32527386962748717,0.3589768455794881,0.29471509364349574,0.021034191149528984
0.3216392970357767,0.35776702895015505,0.298658177181464,0.02193549683260423
0.30864280962738183,0.35159393694971397,0.31829400755077386,0.021469245872130265
0.30678011322547727,0.34538235010765883,0.33214533397705603,0.015692202689807862
0.30238360869600917,0.33801569765079625,0.3440004499591606,0.015600243694033948
0.29618675414910456,0.33504264732541905,0.35352976256238805,0.015240835963088442
0.28322162115476207,0.35290327309312475,0.3489689430619376,0.014906162690175499
0.2737786583528276,0.34015327334144574,0.3720137825586909,0.014054285747035773
0.26084143194273773,0.3556840477514387,0.36957564866023723,0.013898871645586322
0.25343849749087816,0.3682876614988354,0.36475404476613565,0.013519796244150733
0.2690981296033435,0.3552022340020669,0.36213418238848666,0.013565454006102857
0.2625858515429458,0.3486835752221824,0.37551377636741984,0.013216796867451988
0.25043200934710735,0.3585103345081453,0.377935238450841,0.013122417693906254
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
