Interaction and Play,Daily Routine,Storytime and Animals,Daily Activities
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.1978268103155101,0.4647356724350065,0.13740256473143392,0.20003495251804945
0.20448767144746083,0.4403291929429277,0.14508845610318233,0.2100946795064291
0.2106286803698142,0.4095356106305317,0.15064307086713122,0.2291926381325229
0.21821855316591404,0.383831380390612,0.15638319906201856,0.24156686738145539
0.22957501350810597,0.35395877480705135,0.16246868578963553,0.2539975258952072
0.24375241404984904,0.3254131132801789,0.16949155160729806,0.26134292106267404
0.25561780981471455,0.2958015472853041,0.17632560326147695,0.27225503963850445
0.2691560056214898,0.26902495287511574,0.181197684393121,0.2806213571102736
0.27114612365330426,0.2614403160175197,0.1845216568091532,0.2828919035200228
0.28328904524612103,0.23527616821534297,0.18907931522476948,0.29235547131376655
0.29652105455258254,0.21093853865928264,0.19287668763631363,0.29966371915182116
0.30909029367279645,0.18568022218657668,0.19844403655067366,0.30678544758995313
0.3211724521813294,0.16441986402532535,0.20072563189215795,0.3136820519011873
0.32439936601321967,0.16132306727093784,0.19988726131385798,0.3143903054019844
0.33609108457901693,0.13713236858774064,0.20594958900257748,0.32082695783066495
0.3427748218310871,0.11970753445776043,0.21148478906046106,0.3260328546506914
0.3494124019453975,0.11606162062470299,0.20879717391061714,0.32572880351928235
0.35308629258485885,0.1119474443082424,0.20626430577471302,0.3287019573321857
0.35397576282332294,0.10965997626970829,0.20777683564826183,0.32858742525870693
0.36598352282418717,0.10648841652710894,0.20385256192938808,0.3236754987193158
0.3557288746409252,0.10457227902010156,0.19627000436204486,0.3434288419769284
0.34384821158239637,0.10255162628367787,0.19003780134592999,0.36356236078799575
0.3516610050864985,0.11326194252029763,0.18394649332060065,0.3511305590726032
0.35637898490502334,0.10950580412678014,0.18489641803689114,0.34921879293130537
0.3648544580238303,0.10693320924828732,0.18062756807079902,0.3475847646570834
0.3703160517892504,0.1049490461483993,0.1798238357892528,0.3449110662730975
0.3779144601493229,0.10205270072575653,0.1790560337720596,0.34097680535286096
0.38632055556913286,0.09909342785838204,0.17563664070711132,0.3389493758653738
0.39605580793344347,0.09548005414441581,0.17539283458486846,0.3330713033372723
0.40042752393382064,0.09526049808406256,0.16972792752909732,0.33458405045301953
0.40718268232920946,0.0936881160598237,0.1661621505709442,0.3329670510400226
0.4043590203825348,0.0922438212125309,0.1673506573290358,0.33604650107589845
0.41070496103619825,0.0915815166813522,0.16534720784953652,0.33236631443291315
0.42539126504375185,0.09096152612614956,0.17000277694822863,0.31364443188186997
0.44116651541573704,0.08839814065004799,0.16974511783609594,0.300690226098119
0.4379689061773317,0.08840709389064824,0.16882420058961312,0.304799799342407
0.4363502112738234,0.08812644601496564,0.16253109792851067,0.3129922447827004
0.43484523071774006,0.09143662035745483,0.15623647494717893,0.31748167397762617
0.4330577270893703,0.09538361803151187,0.15364305021957683,0.31791560465954094
0.4305619561892959,0.09906997704995633,0.15351922786274297,0.3168488388980049
0.42988608595568306,0.10070665390110517,0.14945916034554205,0.31994809979766975
0.43076466336642094,0.10350294214858145,0.145983386213967,0.31974900827103064
0.4337059105580112,0.10087456538733003,0.14079945139519479,0.32462007265946397
0.4323471529500718,0.10102251154443441,0.1386022353773268,0.32802810012816697
0.43543062706752417,0.10084471919857117,0.1320324381575582,0.3316922155763464
0.4357785797357714,0.10528254561907481,0.12563981724578718,0.3332990573993667
0.4491578432475641,0.10076607819207901,0.11983642532703799,0.33023965323331894
0.44939585525293657,0.1002963184314442,0.1170139286085514,0.3332938977070678
0.44693466121170583,0.10338421717067826,0.11156540677256209,0.33811571484505387
0.4474225987060686,0.10206027988189305,0.10874876722459748,0.34176835418744095
0.4397057928224971,0.10569311619315497,0.10394526303646794,0.3506558279478801
0.44905213951142536,0.11348997221688792,0.10601824517139832,0.33143964310028834
0.4539908886650685,0.11348009885031557,0.10600898643652998,0.32652002604808594
0.44783927578087407,0.10413545594641731,0.1061622524256419,0.3418630158470667
0.4453192302667141,0.1098961280755403,0.10164379594361836,0.3431408457141273
0.4533785366662905,0.11153858405668032,0.09815519288481649,0.33692768639221266
0.45233840812749826,0.11608210834919692,0.09272638530841745,0.3388530982148874
0.43759440448570563,0.11545357124935736,0.08778896061196811,0.35916306365296896
0.4172954414254196,0.11510083693059056,0.08549988119083016,0.3821038404531597
0.40631692963274596,0.11476081321612014,0.08036097728382151,0.3985612798673124
0.41511497752483567,0.11957645861055402,0.07581972871973532,0.3894888351448749
0.3994314335848254,0.11923715942193987,0.1006598120678805,0.3806715949253542
0.38811977766510036,0.12046486964143925,0.09204054394931706,0.39937480874414333
0.36984443046344073,0.11950932702790985,0.09323392934127649,0.41741231316737293
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
