Play and Imagination,Pretend Play,Actions and Play,Needs and Actions
,,,
,,,
,,,
0.34715795343411077,0.2543681392628819,0.12905773327453066,0.26941617402847673
0.3471849477217149,0.395927368589044,0.05802163704037181,0.19886604664886934
0.2896160389178618,0.3205678841318053,0.05345081919240613,0.33636525775792675
0.2103646999305886,0.36753202579276906,0.10057080521987587,0.3215324690567664
0.21046079800978537,0.3320387581626963,0.24244003889299773,0.2150604049345206
0.21032272661596352,0.19038927680118942,0.3132212252379836,0.2860667713448634
0.21074267411719758,0.19025067863986173,0.3130816563627668,0.28592499088017387
0.23865272769183749,0.23558878458313495,0.26153405628005355,0.26422443144497404
0.23857371714149145,0.09397217354138286,0.2614529482218425,0.40600116109528317
0.3804920303603995,0.0940156081689988,0.2614936333251291,0.2639987281454725
0.3814305696249636,0.09322607580650454,0.26152190824821236,0.2638214463203196
0.47614542732072884,0.10457412800787673,0.11962219820927245,0.29965824646212197
0.5472002410624233,0.10454839671849846,0.1197700612039394,0.2284813010151388
0.4047854942587875,0.10453593180753948,0.1197556174590522,0.37092295647462076
0.49955229626620984,0.05916948574095319,0.11976148069009517,0.3215167373027418
,,,
,,,
,,,
